,mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv
54820,gdb_54821,NC(=O)N1C2CC=CC12,2.81249,1.58829,1.45242,2.8864,72.41,-0.2366,0.0017,0.2383,970.8084,0.137784,-418.029269,-418.021617,-418.020673,-418.061416,29.956
121922,gdb_121923,COCCC(O)C(C)O,4.17181,0.62023,0.60013,1.9267,79.86,-0.2439,0.0604,0.3044,1969.0334,0.202444,-462.551963,-462.540443,-462.539499,-462.58933,40.697
5294,gdb_5295,c1cocc1C(=O)N,5.16785,1.54323,1.19813,3.0276,60.58,-0.2399,-0.0209,0.219,921.7988,0.097114,-398.659452,-398.652618,-398.651674,-398.690883,25.297
117861,gdb_117862,CCCC(C)C#CC#C,3.65452,0.58094,0.51643,1.3938,102.8,-0.2384,-0.0071,0.2313,2147.9168,0.1794,-349.915607,-349.904619,-349.903675,-349.952343,39.431
4213,gdb_4214,c1cnc(nc1)F,6.11303,2.84218,1.94013,3.4815,49.41,-0.269,-0.054,0.2149,581.0486,0.069183,-363.519194,-363.514378,-363.513434,-363.547867,17.709
3363,gdb_3364,OC1C2CC=CC12,4.23863,2.79559,2.685,1.5547,60.78,-0.2241,0.0105,0.2346,605.008,0.126718,-308.507517,-308.501684,-308.500739,-308.536745,23.375
49821,gdb_49822,N=C1OC(C=O)C11CC1,2.54241,1.46143,1.0559,0.7091,71.57,-0.2603,-0.0467,0.2137,1119.8762,0.122796,-437.873626,-437.865293,-437.864349,-437.907308,30.189
84761,gdb_84762,CC1(CC=CC1O)C#C,2.26158,1.50509,1.23192,1.9186,82.08,-0.2442,0.0065,0.2506,1112.1405,0.157921,-385.864911,-385.855894,-385.85495,-385.89821,35.211
45894,gdb_45895,O=C1OC=NCC2OC12,2.62598,1.86881,1.33371,2.463,62.82,-0.2711,-0.0398,0.2312,926.6195,0.101543,-473.825741,-473.818628,-473.817684,-473.857706,26.281
622,gdb_623,COC1CC1C,6.71147,2.48794,2.11039,0.9946,57.42,-0.2416,0.093,0.3346,657.4178,0.141831,-271.608843,-271.601738,-271.600794,-271.639467,25.184
52523,gdb_52524,CC#CC(=O)C1(C)CO1,2.97865,1.03633,0.82255,2.8055,79.8,-0.254,-0.0552,0.1988,1420.2526,0.131956,-421.800275,-421.790147,-421.789203,-421.837266,34.5
41079,gdb_41080,C1C2CC3C1C21COC31,3.38571,1.83761,1.58782,1.8559,78.25,-0.243,0.0721,0.3151,900.1523,0.162751,-385.800727,-385.794676,-385.793731,-385.830701,26.665
94345,gdb_94346,OC1CNC11CC1C#N,2.60238,1.2576,1.12356,4.5708,74.08,-0.2374,0.0231,0.2604,1146.7632,0.135937,-417.975417,-417.966815,-417.965871,-418.009298,31.856
22575,gdb_22576,C1CC(=O)CCC1=NO,3.71586,1.04852,0.87479,2.2626,75.97,-0.242,-0.0202,0.2218,1290.9323,0.148099,-439.084166,-439.075748,-439.074803,-439.117577,31.853
121283,gdb_121284,CCCC1CCC=C1C,2.68599,0.94169,0.73409,0.2418,95.96,-0.2233,0.0363,0.2596,1658.4623,0.229217,-352.388135,-352.377974,-352.37703,-352.423384,38.173
31110,gdb_31111,[NH3+]CC1=C([O-])OC(O)=C1,3.80736,0.83856,0.6897,1.3769,74.41,-0.2139,-0.0584,0.1555,1581.5574,0.120079,-475.061133,-475.050524,-475.04958,-475.097644,36.604
125683,gdb_125684,Cc1c(n[nH]n1)C2CC2,3.01509,1.30082,0.98487,0.6368,78.78,-0.2328,0.0034,0.2363,1217.0128,0.149534,-398.133918,-398.125515,-398.124571,-398.167944,30.72
15326,gdb_15327,CC#CC1OC1C#C,3.25123,1.30277,0.98956,2.1408,72.96,-0.2459,0.0094,0.2552,1162.1806,0.103668,-345.316772,-345.308049,-345.307105,-345.352048,29.841
117194,gdb_117195,CCNC(=O)C1(CC1)C,3.22738,0.9617,0.8458,3.3459,84.67,-0.2392,0.036,0.2753,1487.5107,0.193256,-404.382989,-404.372684,-404.37174,-404.419401,37.834
30078,gdb_30079,Cn1ccnc1OC=O,3.41786,1.19069,0.892,4.3486,70.02,-0.2257,-0.0132,0.2125,1226.9464,0.112796,-454.000817,-453.992344,-453.9914,-454.035361,28.966
4755,gdb_4756,Cn1cc(nc1)C=O,7.2118,1.27083,1.08787,7.3756,68.27,-0.2391,-0.0354,0.2037,1032.0622,0.108105,-378.76879,-378.761421,-378.760477,-378.801227,25.487
115359,gdb_115360,CC1OCC(CO)C=C1,2.88336,1.08784,1.00132,1.7987,80.92,-0.2459,0.0086,0.2545,1309.0228,0.182913,-424.229757,-424.22063,-424.219686,-424.263714,34.678
72851,gdb_72852,CC12CCN1C(C2)C#N,3.07217,1.25444,1.08316,5.1611,79.82,-0.2361,0.0159,0.2521,1174.6686,0.159735,-382.046529,-382.038152,-382.037207,-382.079864,31.947
47998,gdb_47999,O=CC#CC1OC1C#C,3.12629,0.82288,0.68597,2.6209,77.59,-0.274,-0.0754,0.1986,1537.7847,0.085322,-419.333112,-419.324109,-419.323164,-419.368471,30.554
14392,gdb_14393,CC1(C)C2C3OC3C12,4.06994,1.93272,1.63595,1.7477,70.5,-0.2265,0.056,0.2825,849.2152,0.152115,-347.719379,-347.711766,-347.710822,-347.75138,29.625
72310,gdb_72311,CC12CN=C3OC1C23N,2.30906,1.93178,1.5574,4.7091,73.24,-0.2056,-0.0513,0.1543,940.6946,0.133909,-417.860931,-417.852717,-417.851773,-417.892995,31.981
14279,gdb_14280,CC1C2CC(=O)CN12,3.47766,1.80211,1.73775,2.1309,67.14,-0.2251,-0.0232,0.2019,844.4888,0.142603,-363.86488,-363.857665,-363.856721,-363.896303,27.718
118642,gdb_118643,CCCC(CCO)C#C,2.71354,0.7123,0.58958,1.0472,88.6,-0.2572,0.0512,0.3084,1941.7055,0.202678,-388.260698,-388.249187,-388.248242,-388.298092,40.854
6019,gdb_6020,CC(N)C(C)(N)C#N,2.60329,1.71864,1.40448,5.7723,71.35,-0.2421,0.0408,0.2828,993.6639,0.164372,-361.244767,-361.234931,-361.233987,-361.278481,36.247
71023,gdb_71024,OC12CC34C=CC(C13)C24,4.05126,1.67573,1.39641,1.3303,76.16,-0.2146,0.0029,0.2175,919.7044,0.136634,-384.578999,-384.572464,-384.57152,-384.609293,28.095
130189,gdb_130190,C1Oc2c(n[nH]c2O1)N,3.3915,1.60335,1.10237,1.3867,64.12,-0.1923,0.0396,0.2319,1011.9782,0.103482,-469.975792,-469.968362,-469.967418,-470.007532,27.849
105938,gdb_105939,CCC12C3C1C1CC3N21,4.05243,1.34454,1.2741,1.5858,81.9,-0.2181,0.087,0.3051,1085.0325,0.172418,-365.931896,-365.924459,-365.923514,-365.963805,29.938
22153,gdb_22154,CC(=NO)COCC=O,2.04152,1.17264,0.90081,2.0967,72.08,-0.2451,-0.0291,0.216,1337.974,0.143209,-476.173775,-476.163412,-476.162468,-476.210748,35.512
23138,gdb_23139,C#CCC(=NO)C1CC1,2.12324,1.32854,0.95055,0.6644,81.35,-0.2383,0.0046,0.2429,1267.6471,0.145383,-401.857605,-401.848165,-401.847221,-401.892314,35.068
4680,gdb_4681,Cc1cnc([nH]1)C#N,6.36013,1.35088,1.12202,6.1124,70.13,-0.2415,-0.0375,0.2039,994.7718,0.097496,-357.703903,-357.696857,-357.695913,-357.735336,25.209
25238,gdb_25239,c1c[nH]c2c1C(=O)OC2,3.42797,1.62408,1.10969,6.7403,69.32,-0.2323,-0.0069,0.2254,1000.333,0.104476,-436.757304,-436.750768,-436.749823,-436.788259,25.441
108413,gdb_108414,OCC12CCC1N2C=O,2.57135,1.3383,1.06147,2.3745,73.04,-0.2559,-0.0064,0.2496,1166.9829,0.146953,-439.055691,-439.046941,-439.045997,-439.08962,31.927
52341,gdb_52342,C(CN=COC=O)C=O,9.11755,0.44268,0.43548,2.4079,74.46,-0.2603,-0.0357,0.2245,2331.1971,0.120556,-475.043513,-475.033733,-475.032789,-475.080229,32.017
119273,gdb_119274,COCC1(CO1)COC,2.69617,0.95,0.79983,3.4182,75.98,-0.2473,0.0759,0.3232,1526.1312,0.179203,-461.308074,-461.297535,-461.296591,-461.344732,36.552
122059,gdb_122060,C(CO)NC(C=O)C=O,2.6406,1.04423,0.84513,1.9265,70.44,-0.2339,-0.0574,0.1765,1367.8057,0.144677,-476.21534,-476.205416,-476.204472,-476.251127,34.648
38370,gdb_38371,C1C2CC1OCCCC2,1.98859,1.9841,1.24949,1.3201,84.08,-0.2337,0.0725,0.3062,1107.5627,0.209131,-388.277137,-388.269236,-388.268292,-388.309029,32.74
129225,gdb_129226,N=C1NN=NC(=O)C=C1,3.32265,1.45534,1.08052,2.933,72.7,-0.2506,-0.0971,0.1535,1035.5945,0.090001,-448.889107,-448.88178,-448.880836,-448.921573,26.963
41774,gdb_41775,C1OC2C=CCCC2=C1,3.1575,1.55242,1.15396,1.9007,83.24,-0.2254,0.0202,0.2456,1083.5675,0.161973,-385.909226,-385.901889,-385.900945,-385.941079,29.086
130370,gdb_130371,C(=Nc1[nH]c(=O)[nH]n1)N,7.06197,0.83388,0.74934,6.4556,71.91,-0.1973,-0.017,0.1802,1411.0086,0.102826,-466.241127,-466.232714,-466.23177,-466.274501,30.045
45952,gdb_45953,N=C1OCC(=O)C1C#N,2.08581,1.88967,1.04485,5.2734,64.29,-0.2866,-0.07,0.2166,1054.8117,0.088902,-452.778098,-452.770294,-452.76935,-452.811665,27.555
61016,gdb_61017,CN(C=O)C1CC2CC12,4.02316,0.99679,0.92359,4.0323,80.81,-0.2376,0.0326,0.2702,1315.7305,0.171634,-403.139223,-403.130574,-403.12963,-403.17288,32.591
64873,gdb_64874,CC1(CN(C1)C=O)C#N,3.47292,0.96702,0.8948,3.7859,75.75,-0.2593,0.0079,0.2672,1320.5552,0.135374,-418.031757,-418.02266,-418.021716,-418.066812,31.874
64257,gdb_64258,CC1(C)CCC2CC1C2,2.45349,1.49857,1.4346,0.0809,90.98,-0.2735,0.0759,0.3494,1126.3032,0.23149,-352.36547,-352.356944,-352.356,-352.39762,35.861
65159,gdb_65160,CC1(CC1)C1NC1C#C,2.70447,1.20013,1.05649,1.538,85.94,-0.2374,0.0356,0.2731,1241.4143,0.16944,-365.936654,-365.927356,-365.926412,-365.970884,35.716
10431,gdb_10432,COC1(CCC1)C=O,2.651,1.96601,1.47703,1.7201,68.2,-0.241,-0.0297,0.2113,932.5515,0.151782,-384.927962,-384.91946,-384.918516,-384.960942,30.699
133040,gdb_133041,CNc1ccc(nc1)F,4.89852,0.9832,0.82468,4.5182,76.71,-0.2048,-0.0234,0.1814,1316.5452,0.125496,-442.090162,-442.082308,-442.081364,-442.122651,29.65
53155,gdb_53156,CC#CC1C2CC1C2O,4.51426,0.833,0.77177,1.3456,86.42,-0.2352,0.0534,0.2886,1530.0929,0.158504,-385.812802,-385.803728,-385.802784,-385.848272,33.348
41452,gdb_41453,C1OC23CCC4C2OC134,2.91174,2.1528,1.64601,2.8825,71.17,-0.2272,0.0445,0.2717,852.4596,0.136872,-421.684623,-421.67833,-421.677386,-421.714858,26.705
133099,gdb_133100,c1nc(nc(n1)F)CO,2.96248,1.37721,0.94563,1.4971,61.5,-0.2764,-0.0682,0.2082,1118.1419,0.089911,-494.083326,-494.07593,-494.074986,-494.116176,26.199
108269,gdb_108270,OCC12CCC1=CCC2,2.31572,1.63261,1.16767,1.0525,84.85,-0.2213,0.0215,0.2429,1131.5032,0.183556,-387.069876,-387.061384,-387.06044,-387.102713,33.364
58062,gdb_58063,CC(C)C(C)(C#C)C#N,1.7427,1.62863,1.10043,3.8344,84.8,-0.2825,0.0135,0.296,1219.0406,0.16739,-365.999038,-365.988385,-365.98744,-366.034062,39.249
76197,gdb_76198,CC1C(C)(C)C11CCC1,2.09543,1.38158,1.15862,0.0542,93.57,-0.2411,0.0831,0.3242,1283.1444,0.227398,-352.345422,-352.334962,-352.334018,-352.380347,39.629
126242,gdb_126243,CCc1c(nno1)NC,2.49803,1.28632,0.907,4.4015,76.86,-0.2096,-0.0272,0.1824,1312.5425,0.146843,-435.24523,-435.235839,-435.234895,-435.2808,32.9
119501,gdb_119502,COCC12CN1C1CC21,3.70682,1.09507,0.97476,1.7672,79.55,-0.2175,0.0717,0.2893,1293.9895,0.169939,-403.043498,-403.034886,-403.033942,-403.077131,32.694
30287,gdb_30288,CN1CCc2c1cco2,3.05411,1.6308,1.10029,1.15,79.38,-0.1764,0.0232,0.1996,1086.2837,0.150036,-401.959913,-401.952371,-401.951427,-401.991796,29.286
78872,gdb_78873,OC1C2C3C2C2(CC2)C13,2.73876,1.79223,1.36062,1.7842,78.37,-0.2432,0.0867,0.3299,990.1125,0.160239,-385.819483,-385.812179,-385.811235,-385.850762,30.491
4069,gdb_4070,CC(=NO)CC1CC1,5.21008,1.00949,0.90983,0.6798,75.47,-0.239,0.0163,0.2553,1289.3681,0.163655,-365.01517,-365.005973,-365.005029,-365.050046,32.984
51775,gdb_51776,O=CCC1COC1C=O,2.52348,1.08541,0.82721,2.2233,69.2,-0.2553,-0.0452,0.2101,1345.3055,0.132777,-458.950206,-458.940914,-458.93997,-458.986451,31.286
126125,gdb_126126,CCC(=O)c1cn[nH]n1,4.61849,0.99595,0.82753,2.7699,72.07,-0.2552,-0.0514,0.2038,1341.9146,0.125373,-434.097261,-434.088872,-434.087927,-434.131404,29.43
113268,gdb_113269,CCN1CC1(C)CC=O,4.34159,0.75369,0.7173,2.8155,84.49,-0.2327,-0.0215,0.2112,1656.7383,0.190695,-404.334487,-404.323848,-404.322903,-404.371119,37.928
31440,gdb_31441,OCC1=NC(=N)NC=N1,2.96811,1.3881,0.95133,3.7282,72.22,-0.2449,-0.0619,0.183,1156.7092,0.115214,-450.169425,-450.161748,-450.160804,-450.201978,28.467
122197,gdb_122198,CCOCC1(COC1)O,3.73393,0.79724,0.76457,3.1286,75.93,-0.2453,0.0702,0.3155,1597.4137,0.180462,-461.3316,-461.321598,-461.320653,-461.367467,35.827
79806,gdb_79807,OC1C2C3C=CCN2C13,4.13251,1.43952,1.22441,1.0436,76.73,-0.2155,0.0146,0.23,1022.6061,0.149597,-401.876188,-401.869262,-401.868318,-401.907045,28.842
131738,gdb_131739,OCC1=NNC=CC1=N,2.64347,1.5219,0.97158,3.0643,77.68,-0.205,-0.0192,0.1858,1151.4513,0.126125,-434.064512,-434.056395,-434.055451,-434.097369,30.418
49194,gdb_49195,O=CC1=CC2CCN2C1,4.24255,1.10426,0.98507,3.4018,80.73,-0.2231,-0.0611,0.162,1212.1958,0.149118,-401.945365,-401.937748,-401.936804,-401.977838,28.918
133397,gdb_133398,FC1=C(F)C(=N)NN=C1,2.33516,1.86304,1.03628,2.8054,63.14,-0.2245,-0.0591,0.1653,1007.8009,0.077542,-518.047719,-518.040681,-518.039737,-518.079381,26.41
9162,gdb_9163,CNC(=O)C#CC=O,6.80656,0.78305,0.72072,3.8154,69.53,-0.2724,-0.0809,0.1915,1481.6875,0.093173,-398.599231,-398.590111,-398.589167,-398.635085,28.857
125829,gdb_125830,Cc1c(non1)C2CC2,3.01648,1.29596,0.98204,4.1102,74.98,-0.2669,-0.0342,0.2328,1205.4746,0.135962,-417.968657,-417.960451,-417.959507,-418.002662,29.878
116307,gdb_116308,COC1OCCC1CO,2.36022,1.25282,0.91561,1.1896,75.01,-0.256,0.0785,0.3345,1328.2791,0.182294,-461.35975,-461.349952,-461.349007,-461.394927,34.944
39902,gdb_39903,C1OC11C2CCC1OC2,2.64095,1.76841,1.578,2.7472,73.62,-0.2371,0.0807,0.3178,948.2988,0.161698,-423.010148,-423.003062,-423.002117,-423.041414,28.763
33564,gdb_33565,C1C=CC(O1)(C#N)C#N,2.20536,1.67906,1.23768,5.6189,68.52,-0.2974,-0.0401,0.2573,1012.755,0.088827,-415.612552,-415.604693,-415.603749,-415.645477,27.962
55268,gdb_55269,NC(=O)C1COC(N)=N1,3.41459,1.19181,0.96233,3.6312,66.4,-0.222,0.0344,0.2564,1186.315,0.126141,-471.265621,-471.257086,-471.256142,-471.299545,31.447
87363,gdb_87364,CC1CC11C(C)NC1=O,2.13415,1.58362,1.07711,3.7507,80.83,-0.241,0.0362,0.2772,1189.1761,0.170055,-403.167329,-403.157943,-403.156999,-403.201378,35.003
51867,gdb_51868,O=COC1COCC=C1,4.66375,0.88512,0.7791,3.5868,72.98,-0.2648,-0.0054,0.2594,1410.3177,0.135895,-458.982244,-458.973993,-458.973049,-459.016262,29.772
123974,gdb_123975,C1c2c(non2)NC=N1,3.85681,1.65604,1.16681,3.4453,65.19,-0.2437,-0.0449,0.1988,943.1136,0.092248,-448.897081,-448.8906,-448.889655,-448.928495,24.453
32642,gdb_32643,CCc1cn(cn1)CC,4.64062,0.84792,0.77968,3.7156,86.74,-0.2115,0.0366,0.2481,1571.6454,0.183503,-383.323219,-383.313688,-383.312744,-383.358592,34.499
107501,gdb_107502,OCC12OC1CC21CN1,2.06573,1.85035,1.23649,1.4895,71.8,-0.2392,0.0502,0.2894,1054.7967,0.147286,-439.006331,-438.998085,-438.997141,-439.039073,31.704
57473,gdb_57474,CC(C)(O)C1COC1=O,2.56562,1.3988,1.12516,3.3484,70.71,-0.2742,0.0049,0.2792,1144.528,0.15732,-460.19676,-460.18743,-460.186486,-460.230628,34.931
109262,gdb_109263,COC1=NCC2CCN12,3.21014,1.42592,1.10653,1.5905,76.39,-0.2167,0.0498,0.2665,1134.9603,0.161654,-419.201442,-419.193356,-419.192411,-419.234418,30.068
111121,gdb_111122,COC1C2CC1N1CC21,3.56395,1.31646,1.21525,1.3121,78.44,-0.2192,0.0868,0.3059,1107.9665,0.172797,-403.06979,-403.062238,-403.061294,-403.10174,30.375
26015,gdb_26016,c1c(nc[nH]1)NC(=O)N,5.1261,1.00298,0.83959,1.3982,69.55,-0.1967,0.0318,0.2285,1285.3558,0.115559,-450.206978,-450.198989,-450.198044,-450.23991,29.963
9734,gdb_9735,OC1(CCOC1)C#C,3.97697,1.54013,1.4915,1.5176,66.32,-0.2467,0.0311,0.2778,904.9551,0.12928,-383.701937,-383.693868,-383.692924,-383.734548,29.761
23499,gdb_23500,ON=C1C2NC3C2OC13,3.4174,1.53138,1.31196,1.7182,68.3,-0.2367,-0.0062,0.2305,958.2346,0.113917,-453.817134,-453.810524,-453.80958,-453.848124,26.673
94968,gdb_94969,OC1COC2C1NC2=O,3.6031,1.35528,1.16209,4.204,64.43,-0.2382,0.0177,0.2559,1037.3987,0.125221,-475.034114,-475.026391,-475.025447,-475.06654,29.112
127773,gdb_127774,Cn1c2c(nco2)nn1,3.61952,1.73695,1.18252,5.1734,65.69,-0.2466,-0.0277,0.219,949.9675,0.091615,-448.907889,-448.901182,-448.900238,-448.939318,24.556
76046,gdb_76047,CC1C(C#C)C11COC1,2.46352,1.29194,1.08403,1.7703,82.34,-0.242,0.0395,0.2815,1202.0402,0.157229,-385.82041,-385.811194,-385.81025,-385.85445,34.107
103432,gdb_103433,CCC1(O)C2OC2C1O,2.34588,1.51559,1.28703,0.7481,70.07,-0.2414,0.0596,0.301,1081.5729,0.1571,-460.11846,-460.109388,-460.108444,-460.151815,34.769
14611,gdb_14612,C(CNCC#N)C=O,12.91478,0.59782,0.58541,2.3504,67.79,-0.2611,-0.0352,0.2259,1758.351,0.128978,-379.925322,-379.916224,-379.91528,-379.960717,29.937
116424,gdb_116425,OCC1COCCC1=O,2.88056,1.27852,0.94903,2.6706,71.53,-0.2514,-0.0327,0.2187,1227.7292,0.160416,-460.183728,-460.175325,-460.174381,-460.216946,31.823
94967,gdb_94968,OC1COC2C1NC2=N,3.51873,1.38113,1.17692,4.0835,69.5,-0.2351,0.0276,0.2628,1048.9101,0.137157,-455.127838,-455.119927,-455.118983,-455.160333,30.214
6173,gdb_6174,CC(C)C1OC1(C)C,3.29537,1.28868,1.18618,1.7313,78.69,-0.2536,0.0842,0.3377,1181.4947,0.197018,-350.208721,-350.198686,-350.197742,-350.24313,36.891
61250,gdb_61251,CN1CC1C(N)CC#N,3.45574,0.84628,0.77796,4.2814,80.43,-0.2413,0.0357,0.277,1508.6197,0.1703,-399.300464,-399.290452,-399.289508,-399.335906,36.097
63532,gdb_63533,CC1(C)CC11CN2CC12,2.90009,1.31048,1.19317,1.7352,86.1,-0.2212,0.0743,0.2955,1176.0246,0.193434,-367.157023,-367.148045,-367.147101,-367.19013,35.267
48152,gdb_48153,C1CC(C1)NC(=N)C=O,5.11676,0.73131,0.69932,3.7378,81.05,-0.2323,-0.0678,0.1645,1630.8027,0.158997,-419.207948,-419.198662,-419.197718,-419.243795,33.311
1813,gdb_1814,CC(C)(C)C1CC1,3.69457,1.98643,1.87657,0.0705,73.84,-0.2713,0.0812,0.3525,847.1208,0.193309,-274.982053,-274.97348,-274.972535,-275.014341,32.783
31005,gdb_31006,Cc1c(nc(o1)O)CO,3.1738,1.19238,0.8906,0.8655,67.81,-0.2144,0.0214,0.2358,1247.4437,0.124118,-475.062007,-475.053309,-475.052365,-475.095574,31.669
100972,gdb_100973,CCC(O)C1(C)CN1C,2.39562,1.08527,0.99031,1.4878,86.05,-0.2214,0.0675,0.289,1404.552,0.214348,-405.522422,-405.511223,-405.510279,-405.558475,41.186
73674,gdb_73675,OC12CCOC1CC=C2,2.20808,1.95046,1.44137,1.9479,75.3,-0.238,0.008,0.246,985.9069,0.160893,-423.043537,-423.035824,-423.034879,-423.075849,30.665
106464,gdb_106465,CCC12CC(O1)C=CC2,3.15959,1.40517,1.22673,1.5289,82.15,-0.2309,0.0097,0.2406,1119.6212,0.183623,-387.086535,-387.078441,-387.077497,-387.118909,32.612
62160,gdb_62161,CC(CNC=O)OC=N,1.99029,1.12279,0.81822,0.4518,75.32,-0.2557,0.0195,0.2752,1437.4211,0.157615,-456.371889,-456.36149,-456.360546,-456.410047,35.333
122563,gdb_122564,OCCCC1CC2CC12,4.93444,0.64014,0.61608,1.2193,86.0,-0.2502,0.0813,0.3316,1868.3219,0.205914,-388.255916,-388.246316,-388.245372,-388.291157,35.839
108730,gdb_108731,OCC1=CC(=O)C2CC12,2.9518,1.25464,0.94354,5.3817,76.29,-0.232,-0.0422,0.1898,1217.4618,0.136062,-421.840191,-421.832054,-421.83111,-421.873165,30.564
60517,gdb_60518,CC(C1CO1)C(=O)C=O,2.71911,1.02899,0.9537,0.6581,69.28,-0.2536,-0.102,0.1516,1296.5259,0.132417,-458.955111,-458.94552,-458.944576,-458.99103,32.878
109917,gdb_109918,COC1C(C)C=CC1O,2.03295,1.7394,1.04374,1.4206,80.08,-0.2436,0.017,0.2606,1199.9407,0.182069,-424.22503,-424.215639,-424.214695,-424.259207,35.434
88573,gdb_88574,CC1NC1C1=NCCO1,3.58509,1.08335,0.98027,2.0532,78.21,-0.2369,0.0187,0.2556,1282.841,0.160591,-419.199557,-419.190912,-419.189967,-419.233954,31.301
58519,gdb_58520,CC(O)C1(O)CC2CC12,2.69096,1.29455,1.22672,2.1427,77.61,-0.2455,0.0596,0.3051,1156.9173,0.181338,-424.194374,-424.185259,-424.184315,-424.227594,36.097
53408,gdb_53409,CC#CC1CCC2CN12,3.9741,0.92598,0.83166,1.5503,87.61,-0.2272,0.052,0.2792,1461.7029,0.17167,-365.973889,-365.964926,-365.963982,-366.009116,32.966
76372,gdb_76373,CC1(C([NH3+])C1O)C([O-])=O,2.63829,1.21241,1.12275,13.2651,70.8,-0.1778,-0.0166,0.1612,1163.6631,0.146399,-476.169941,-476.160528,-476.159584,-476.203994,34.797
11681,gdb_11682,N=C1OC2(CC12)C#N,5.12091,1.56278,1.36566,2.8013,62.48,-0.2885,-0.0288,0.2597,860.4213,0.084038,-377.496993,-377.490526,-377.489582,-377.52772,24.139
94324,gdb_94325,CC1CCC11CC1C#C,2.5269,1.29074,1.0703,0.8857,89.6,-0.2349,0.0501,0.285,1237.6522,0.180916,-349.904497,-349.895157,-349.894212,-349.938521,35.986
89234,gdb_89235,CC1CC2(O)C3CC2C13,2.94753,1.57506,1.24915,1.4011,81.83,-0.2515,0.0778,0.3294,1079.078,0.183835,-387.061102,-387.053254,-387.05231,-387.092886,32.375
109164,gdb_109165,CCC1=CCC(C)C1C,2.66291,1.09418,0.93593,0.2195,94.96,-0.2245,0.0327,0.2572,1440.9192,0.228956,-352.386751,-352.376553,-352.375609,-352.421706,38.852
122658,gdb_122659,COCCC1OCC=C1,5.06624,0.69626,0.64524,1.1047,82.27,-0.2333,0.0162,0.2496,1774.5739,0.181549,-424.216204,-424.206562,-424.205618,-424.251999,34.049
124673,gdb_124674,CC(C=O)C1=NON=C1,3.71128,1.00249,0.98249,1.8106,67.09,-0.2718,-0.0639,0.2079,1222.0652,0.111059,-453.914674,-453.906336,-453.905391,-453.949253,28.834
1808,gdb_1809,CC(C)C1(CC1)O,3.69975,2.05693,1.94346,1.2668,66.98,-0.2355,0.0665,0.302,806.1359,0.16913,-310.909285,-310.900583,-310.899639,-310.941881,31.978
2705,gdb_2706,CCCCCC=O,13.06975,0.76781,0.75543,2.852,69.58,-0.2476,-0.0186,0.229,1499.9313,0.1695,-310.940708,-310.931691,-310.930747,-310.97521,30.512
4485,gdb_4486,Cc1cc([nH]c1N)C,3.54441,1.66051,1.15389,0.9041,76.66,-0.1827,0.0561,0.2388,1056.6023,0.153985,-344.030871,-344.021793,-344.020849,-344.064632,32.488
72227,gdb_72228,CC12CC3OCC1(C)C23,2.46217,1.89572,1.31476,1.8097,81.65,-0.2335,0.0848,0.3183,1044.1348,0.183176,-387.073239,-387.065046,-387.064102,-387.105303,32.866
86447,gdb_86448,CC1CC(C)OC(=O)C1,1.88513,1.58666,0.90832,4.4791,79.58,-0.2547,0.0169,0.2716,1320.2346,0.18242,-424.289462,-424.280273,-424.279328,-424.323437,34.673
73582,gdb_73583,OC12CCCC1C1NC21,2.37478,1.86222,1.45568,1.5581,77.29,-0.2241,0.0744,0.2986,991.8463,0.173097,-403.11073,-403.103201,-403.102256,-403.142188,31.317
100980,gdb_100981,COC(C)C1(C)CN1C,2.332,1.11353,1.0532,1.8439,86.63,-0.2204,0.0769,0.2973,1368.5764,0.214063,-405.510244,-405.499092,-405.498148,-405.546272,40.688
90358,gdb_90359,CC12NC(=O)C1CC2O,2.31779,1.56925,1.32863,4.3503,72.17,-0.2381,0.0295,0.2675,1050.5586,0.147012,-439.094659,-439.086066,-439.085121,-439.127706,32.747
12543,gdb_12544,CC1COCC=CC1,3.23768,1.78512,1.22466,1.2088,76.98,-0.2408,0.0222,0.263,1026.2031,0.178242,-349.008063,-349.000054,-348.99911,-349.040488,30.487
114297,gdb_114298,OCC1CC2C(C#C)C12,2.29691,1.38676,1.04901,0.7973,81.22,-0.2437,0.0455,0.2892,1196.1504,0.158336,-385.816219,-385.807297,-385.806353,-385.849842,33.957
104818,gdb_104819,CCC1(CNC1=O)OC,2.10438,1.46542,1.17469,2.5627,75.66,-0.2304,0.0284,0.2587,1176.0637,0.169295,-440.29812,-440.288122,-440.287178,-440.332993,35.809
126044,gdb_126045,CC1NC1C1=CON=C1,3.73273,1.04001,1.0363,3.9696,74.19,-0.2444,-0.0093,0.2351,1220.4729,0.137168,-417.976096,-417.968201,-417.967257,-418.009261,29.297
77704,gdb_77705,OC1C2(CC2)CC11CO1,3.06234,1.3121,1.09654,0.8041,76.2,-0.2444,0.0548,0.2992,1152.4774,0.157878,-422.972094,-422.963475,-422.962531,-423.005259,33.08
58565,gdb_58566,CC(O)C1(C)COC1C,2.14741,1.39703,1.16309,2.3983,81.3,-0.2386,0.0623,0.3008,1224.369,0.20313,-425.414404,-425.403787,-425.402842,-425.450209,39.357
5922,gdb_5923,CC(C)(OC=N)C#N,3.46892,1.32483,1.21538,5.7459,67.71,-0.2794,0.0055,0.2849,1049.1707,0.127879,-379.929137,-379.920103,-379.919159,-379.962819,31.811
